t,acc[0],acc[1],acc[2],speed[0],speed[1],speed[2],omegadot[0],omegadot[1],omegadot[2],omega[0],omega[1],omega[2],q[0],q[1],q[2],q[3],torque[0],torque[1],torque[2],alpha[0],alpha[1],alpha[2],alpha[3],alpha[4],joystick[0],joystick[1],joystick[2],joystick[3],delta[0],delta[1],delta[2],delta[3],rot_speed,takeoff
0.1384317874908447,1.20221671580516,1.5771357857609074,-0.18588718631433052,0.050002982128278826,0.26527339915821885,-0.021091600539344592,0.0,0.0,0.0,-0.16169474301768996,-0.0954425531504375,0.07710540402069337,0.999119247452044,0.009413959644050536,-0.014683760375628685,-0.038164039564919025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.2056474685668945,-0.8128674093992712,0.970867246893536,1.4509910490566684,-0.13047476584449735,0.08091707142177886,0.0973356675385917,0.0,0.0,0.0,-0.02817548973429706,0.0860271497701938,0.06735012387813312,0.9994039745355269,-0.002813982268655994,-0.033363691914975235,0.008404834810197104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.2349402904510498,1.7621715579662776,0.07749188434157907,-0.8705193216874934,0.13474855128011984,-0.009927257973807498,-0.028318443191377773,0.0,0.0,0.0,0.09771655306416685,-0.13079037096153084,0.006548615345198489,0.9987756426952197,-0.000864966843986266,-0.042318605401753695,0.02560474619988456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.2819063663482666,-0.09823090185266965,1.2288434214949442,0.07667400580475811,0.1090932790757545,0.1278928890896256,0.08645676340894216,0.0,0.0,0.0,-0.017540100988959306,-0.08059612908281343,-0.09836977361303,0.9995857463909389,0.01532854243538566,-0.022828503610675677,0.008498871794170661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.329735517501831,0.5690016644727767,-2.4333399641856865,-0.13689904511224155,0.004665740420440352,-0.04246749004869728,-0.047652878601165544,0.0,0.0,0.0,-0.012519798296381994,-0.14059932938839675,-0.08110382362497559,0.9996817942586266,0.01372006005709018,0.021157786867436634,0.0006467107191875719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.3781311511993408,-0.941112798135125,-0.753692793602079,-1.9188711069894433,-0.1432003063477718,-0.0028986575828679126,0.016682358579374845,0.0,0.0,0.0,0.009525312287027328,0.00026300718347917396,-0.0330955638273294,0.9997339402214032,-0.019726371034236818,0.00834539351121033,-0.00855999195974432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.4260890483856201,-1.003013595240181,-0.9019954457729867,-1.5262961635018972,-0.12210829807827064,-0.06969491343357209,-0.093528768799169,0.0,0.0,0.0,0.010706509257417247,0.029176114521559483,0.04541540968294986,0.9996909046818897,0.004998412378838199,0.02293670403996817,-0.008186487511703056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.4745728969573974,2.002032358478829,0.8438175033152762,-1.0641901853687992,-0.33090398108570496,0.03237981770546374,-0.07137430313690105,0.0,0.0,0.0,-0.02945802617216056,-0.07879226693846747,0.04680909852027419,0.9998729692530538,0.00026548417300466026,0.014349018029305438,0.006934014481542184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.5219800472259521,0.143833129226217,-0.029014064616363643,0.7963891779028738,-0.025462367151534427,0.13287515009052894,-0.035305701690055646,0.0,0.0,0.0,0.021853920523629874,0.03902088817875137,0.08585953379041243,0.9986887572435353,-0.029658334334150497,0.03939086391592739,-0.0137662340472345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.5709753036499023,-0.3463505968032921,-0.1633465977952512,1.0401313262726775,0.08595129985209841,0.01654945621122172,0.06284024351688332,0.0,0.0,0.0,-0.09141572596296134,0.01974152512142834,0.03835929030895342,0.9994696278365249,-0.0015628740577511451,0.00858336384092917,-0.03137429397090066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.621232271194458,0.2537734536860294,-0.05310608253876999,-0.8993720843388183,-0.04716407420715513,0.161468347031809,-0.017100140303693962,0.0,0.0,0.0,-0.039091066392128775,-0.008095316019583671,-0.05889775021419996,0.9994598214314149,0.008444117275411117,0.0258819516199551,-0.01840887851190871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.6716036796569824,1.1212641822918736,-0.44258028651047815,-0.05530395407632989,-0.1412340169130832,0.1360558290201495,-0.03931479208076505,0.0,0.0,0.0,0.04419917831914729,-0.03128975752843641,0.08422450248698521,0.9988120730967952,0.015658605708097274,0.04540069458869289,-0.008247886652096617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.720588207244873,0.22214485124331562,-1.1639878393455514,1.0341423372313003,-0.10822474194475329,0.0938632495997555,0.028782682668088255,0.0,0.0,0.0,0.020731560935861565,-0.0709859130277644,0.13533784639683596,0.9998379339687488,-0.013714567314681202,-0.0008842570028514407,-0.011629038224557808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.7716071605682373,0.7057694264008111,0.5156822210892971,-0.015864649850026908,0.1822506574876014,-0.01947658127985235,0.08174978427811412,0.0,0.0,0.0,-0.038666547709952724,0.09848058533456422,-0.17164034527924493,0.9996538288703374,0.0021935484824324573,0.008073457931728423,-0.024944539421563234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.8207061290740967,1.6748181077913062,2.677211800372718,0.12667666163384,-0.05535775500426807,0.11111268016117343,0.0717530617869263,0.0,0.0,0.0,-0.17791279465920265,-0.07376620187397032,-0.1277030114559074,0.9992540745973415,-0.028466854380594778,0.024278631003171736,0.009564553251242808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
