t,acc[0],acc[1],acc[2],speed[0],speed[1],speed[2],pos[0],pos[1],pos[2],omegadot[0],omegadot[1],omegadot[2],omega[0],omega[1],omega[2],q[0],q[1],q[2],q[3],forces[0],forces[1],forces[2],torque[0],torque[1],torque[2],alpha[0],alpha[1],alpha[2],alpha[3],alpha[4],joystick[0],joystick[1],joystick[2],joystick[3],delta[0],delta[1],delta[2],delta[3],rot_speed,takeoff
0.2993960380554199,0.0,0.0,0.0,0.001,0.0,0.0,0.00029939603805541993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.4400489330291748,0.0,0.0,0.0,0.001,0.0,0.0,0.0004400489330291748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.48815441131591797,0.0,0.0,0.0,0.001,0.0,0.0,0.000488154411315918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.5652165412902832,0.0,0.0,0.0,0.001,0.0,0.0,0.0005652165412902832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.5841944217681885,0.0,0.0,0.0,0.001,0.0,0.0,0.0005841944217681885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.6317667961120605,0.0,0.0,0.0,0.001,0.0,0.0,0.0006317667961120606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.6831350326538086,0.0,0.0,0.0,0.001,0.0,0.0,0.0006831350326538087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.7314939498901367,0.0,0.0,0.0,0.001,0.0,0.0,0.0007314939498901368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.7987716197967529,0.0,0.0,0.0,0.001,0.0,0.0,0.000798771619796753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.8321373462677002,0.0,0.0,0.0,0.001,0.0,0.0,0.0008321373462677002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.8814418315887451,0.0,0.0,0.0,0.001,0.0,0.0,0.0008814418315887451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.93170166015625,0.0,0.0,0.0,0.001,0.0,0.0,0.0009317016601562499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
0.981774091720581,0.0,0.0,0.0,0.001,0.0,0.0,0.000981774091720581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.0604157447814941,1.058823522789571,0.0,0.0,0.08426763213195125,0.0,0.0,0.007608719982106143,0.0,0.0,0.0,0.0,-9.678739618133773e-10,0.0,0.0,-7.611520831161906e-11,1.0,0.0,0.0,-2.992912902350737e-12,8.999999943711353,0.0,0.0,0.0,0.0,-2.1002864971350286e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.0821788311004639,1.0587765044161037,-1.7383294359450982e-07,0.0,0.10730987659005595,-3.783141356527913e-09,0.0,0.009944114089213519,-8.23328318989812e-11,0.0,-9.100704550265549e-07,1.4391488481749566e-06,-6.192382910252784e-06,0.0,3.132032060867744e-08,-1.3484147900425592e-07,0.9999999999999998,0.0,3.408131554749616e-10,-1.4702762863759338e-09,8.999600287536882,-1.4775800205533334e-06,0.0,-1.2558972279366456e-06,1.2088850324669637e-06,-1.343747091524854e-05,0.0,0.0,0.00048717453661683874,-0.0004871745370726192,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.1317648887634277,1.0587472687959403,-2.529112746129695e-07,0.0,0.15980897971107694,-1.632401440310031e-08,0.0,0.017868411372226403,-8.917763513821658e-10,0.0,-1.3078161220129565e-06,2.0681302069947646e-06,-1.016748169542347e-05,0.0,1.3387074430723724e-07,-6.390068126406538e-07,0.9999999999999999,0.0,3.6598746255833703e-09,-1.7313190615689044e-08,8.999351784765492,-2.1497458342102407e-06,0.0,-1.80478625399484e-06,1.7372293738756023e-06,-2.206343527906893e-05,0.0004317128708542088,0.0004317131421653135,0.00043171410808289575,-0.0004317137398206433,0.00043171300663836593,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.18190336227417,1.0586544002694829,-4.906521637717951e-07,0.0,0.21288829531601905,-4.09245649193608e-08,0.0,0.028542305527675685,-2.9436715655301862e-09,0.0,-2.3768757741750674e-06,3.7586927265309713e-06,-2.2940930484517216e-05,0.0,3.2232586001142967e-07,-1.7892300480503984e-06,0.9999999999999981,-0.0,1.1740337813037627e-08,-6.216782230008844e-08,8.998562402290604,-4.170543392060258e-06,0.0,-3.280088682135535e-06,3.157301890286016e-06,-4.978181915140236e-05,0.0003537642663162678,0.0003537649736913438,0.00035378013860659955,-0.00035377195164785276,0.0003537646200039826,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.2319250106811523,1.0585233940305425,-8.297615619115664e-07,0.0,0.26583738036278054,-8.243060603092974e-08,0.0,0.04183992950161595,-7.066986358383839e-09,0.0,-3.655110075989166e-06,5.779940479211942e-06,-4.113191645475852e-05,0.0,6.114480104758549e-07,-3.846716311255704e-06,0.9999999999999871,-1.942890293094024e-16,2.7033156602129793e-08,-1.5837736772160605e-07,8.997448849259612,-7.052973276248314e-06,0.0,-5.0440526718961495e-06,4.855150002538031e-06,-8.9256258706826e-05,0.00030650543958016534,0.00030650672726844556,0.00030658450121647614,-0.00030654488059306706,0.0003065060832438722,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.3097288608551025,1.058355531145016,-1.3098953923669721e-06,0.0,0.34818151553875887,-1.8434551088219736e-07,0.0,0.06892979196993246,-2.1409776867302627e-08,0.0,-5.102684369565524e-06,8.068578198849129e-06,-6.458299141295808e-05,0.0,1.2392144597759135e-06,-8.871521698935007e-06,0.9999999999998705,-1.889113865338743e-15,7.524098477595942e-08,-5.034966402610147e-07,8.996022014732635,-1.1134110835119263e-05,0.0,-7.041707558249579e-06,6.777605687033268e-06,-0.00014014509136611904,0.00027428711349976163,0.0002742890980639638,0.00027454448633210766,-0.0002744237032451533,0.0002742881055812749,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.3312451839447021,1.0580207020559826,-2.5292255369826444e-06,0.0,0.3709462307996804,-2.38765144702382e-07,0.0,0.07691119092068757,-2.654712486325408e-08,0.0,-7.663403401616484e-06,1.2114876402330165e-05,-0.000111604231108795,0.0,1.4998820546390154e-06,-1.1272834393638184e-05,0.9999999999998005,-2.886579864025407e-15,9.137695833327797e-08,-6.247716137355293e-07,8.993175967475853,-2.1498417064352478e-05,0.0,-1.0575511315875646e-05,1.0176496177957339e-05,-0.00024218118150608512,0.00023966767107305763,0.00023967072469459642,0.00024058282541451612,-0.00024018749557014248,0.0002396691978886903,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.3812520503997803,1.057912290231327,-2.933706820679637e-06,0.0,0.4238491094184642,-3.854706299024604e-07,0.0,0.0981065567324805,-4.582330317514126e-08,0.0,-8.43811110756386e-06,1.3337675873859386e-05,-0.00012686955667748733,0.0,2.166857430884219e-06,-1.761718337162426e-05,0.999999999999422,-9.28779924378174e-15,1.4555583338626832e-07,-1.0652616818250552e-06,8.992254466966278,-2.4936507975776914e-05,0.0,-1.1644615815974402e-05,1.1203647734041885e-05,-0.00027530693799014753,0.00023219686226378755,0.00023220039090050517,0.00023352733952324736,-0.00023297182957327116,0.00023219862658884928,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.4319102764129639,1.057633843070877,-4.2307358887932715e-06,0.0,0.47742696367994064,-5.997922047590371e-07,0.0,0.12229215976336694,-7.620771224477025e-08,0.0,-1.0352000972086386e-05,1.6355145541946894e-05,-0.000166134077812015,0.0,2.9953800902266767e-06,-2.6033241033917143e-05,0.9999999999984884,-2.444615690433416e-14,2.2142615430098544e-07,-1.7246605859002245e-06,8.989887666102454,-3.5961255054742805e-05,0.0,-1.4285812112799062e-05,1.373832225523539e-05,-0.0003605109488520725,0.00021722271309157455,0.00021722722758180026,0.00021987713965797214,-0.00021883107810874677,0.00021722497009286841,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.4813542366027832,1.0573140632171343,-6.029911692946416e-06,0.0,0.5297047581297848,-8.979349184532058e-07,0.0,0.1484828607366939,-1.2060517060581921e-07,0.0,-1.247438455770723e-05,1.9692820134680018e-05,-0.00021128350168770024,0.0,3.969071104991068e-06,-3.647993408012942e-05,0.9999999999965,-5.491093690856985e-14,3.19549451788248e-07,-2.6265167900903597e-06,8.987169537345642,-5.125424939004454e-05,0.0,-1.721475440230697e-05,1.6541968913131215e-05,-0.00045848519866230954,0.0002046711450480247,0.00020467672561916018,0.00020952635020344464,-0.0002077101341216591,0.0002046739348101772,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.5312695503234863,1.0569653958579177,-8.372892910826033e-06,0.0,0.5824635174559599,-1.3158704948469384e-06,0.0,0.17755670994137238,-1.8628725917192103e-07,0.0,-1.4765443143094633e-05,2.3282371538835147e-05,-0.00026052866905534503,0.0,5.131217984513994e-06,-4.948430432926421e-05,0.9999999999924442,-1.1319832332774837e-13,4.4761262962822457e-07,-3.861529077506052e-06,8.984205864792301,-7.116958974202129e-05,0.0,-2.037650411010211e-05,1.9557192092621523e-05,-0.0005653472118500987,0.00019430900650479352,0.0001943156965589124,0.00020248239104841165,-0.00019956504430653982,0.00019431235241768475,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.5820667743682861,1.056576822787594,-1.1477304658199286e-05,0.0,0.6361346870436441,-1.898885710999912e-06,0.0,0.20987058616179696,-2.827453820690525e-07,0.0,-1.73649671701259e-05,2.73355868281144e-05,-0.0003153753248176748,0.0,6.5197899130177995e-06,-6.550449536222916e-05,0.9999999999845481,-2.1845731092560978e-13,6.132062442265607e-07,-5.525252340914131e-06,8.98090299369455,-9.755708959469393e-05,0.0,-2.3963992401394332e-05,2.2961892935616096e-05,-0.0006843644548543543,0.00018530045074707042,0.00018530832217982998,0.00019835895445338098,-0.0001939005110708512,0.00018530438590611114,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.631967544555664,1.056143701918087,-1.5569673039180987e-05,0.0,0.688837071197905,-2.6758243872206965e-06,0.0,0.2442440865481901,-4.162710798775338e-07,0.0,-2.040802177710806e-05,3.20532406439658e-05,-0.0003764008390651344,0.0,8.119271308153059e-06,-8.428718713075466e-05,0.9999999999705724,-3.8872876272078027e-13,8.157851900669755e-07,-7.62825011824081e-06,8.97722146630374,-0.00013234222083303838,0.0,-2.8163638062888117e-05,2.6924722140931273e-05,-0.0008167898207713417,0.00017731262781477648,0.00017732175668241676,0.0001973337589380632,-0.00019078748476848248,0.0001773171923073446,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.6813666820526123,1.0556812737004286,-2.0677302502467573e-05,0.0,0.7409868155903859,-3.697265296606084e-06,0.0,0.2808481961349654,-5.989127966272729e-07,0.0,-2.3927716515802792e-05,3.747715397655264e-05,-0.00044135294681271005,0.0,9.970610390435083e-06,-0.000106089642035039,0.9999999999469187,-6.477790476089197e-13,1.0620549667494927e-06,-1.0248618525073748e-05,8.973290826453644,-0.00017575707127097436,0.0,-3.30211589780262e-05,3.148080934030422e-05,-0.0009577358945835807,0.00017039755668400255,0.00017040798309852644,0.0001996397454010595,-0.00019046474707943136,0.00017040276899371636,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.731748342514038,1.0551874838787803,-2.699739006424897e-05,0.0,0.7941489131263129,-5.057438636167746e-06,0.0,0.32085873703190565,-8.537149527991726e-07,0.0,-2.8102079961305697e-05,4.3874410569392056e-05,-0.0005103986483211248,0.0,1.2181076046687384e-05,-0.0001318043734347246,0.9999999999070058,-1.0292762309975811e-12,1.3689063855792938e-06,-1.3568880119681907e-05,8.969093612969631,-0.00022947781554611625,0.0,-3.878227719198982e-05,3.6854504878289325e-05,-0.0011075650668568408,0.00016429732893468094,0.00016430909314964855,0.00020534727299603085,-0.00019296572270339883,0.00016430321047173943,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.812269687652588,1.0546470329356656,-3.497834346427769e-05,0.0,0.8790705108646731,-7.873941902629588e-06,0.0,0.3916426770383613,-1.4877353463416993e-06,0.0,-3.3275736494561724e-05,5.176560872906632e-05,-0.000585516114062148,0.0,1.6349312493467662e-05,-0.0001789509185393053,0.9999999997821748,-1.960312087863281e-12,2.0271407025207466e-06,-2.0773564455750897e-05,8.964499779953158,-0.0002973159194463604,0.0,-4.592265170289298e-05,4.348311133241571e-05,-0.001270569967514861,0.00015871231351100178,0.00015872548840739422,0.00021482395138943942,-0.00019853276994081454,0.00015871889934717499,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.8318941593170166,1.0537060570268582,-5.2179532657755404e-05,0.0,0.8997489355234336,-8.89793766273484e-06,0.0,0.4092997745286408,-1.6623526718758921e-06,0.0,-4.396975763438931e-05,6.800567725534052e-05,-0.0007150405532532449,0.0,1.7683887979785375e-05,-0.00019298321161554104,0.9999999997406789,-2.194301896218595e-12,2.2006591824386135e-06,-2.2667161239327613e-05,8.956501484728294,-0.00044352602759092094,0.0,-6.068215674902654e-05,5.712476889448604e-05,-0.0015516380005595413,0.00015088214544180223,0.00015089751449525745,0.00023712307665287084,-0.0002134372528636372,0.000150889829428425,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
1.881394863128662,1.0534624685098375,-5.6775796866808336e-05,0.0,0.951896069153824,-1.170837956710887e-05,0.0,0.45641929990729385,-2.2419257009416704e-06,0.0,-4.719708992591791e-05,7.288615689051339e-05,-0.0007482266415210301,0.0,2.1291804043991804e-05,-0.00023002095698145583,0.9999999995941277,-2.7777413425230387e-12,2.7276388250285777e-06,-2.8360260868394018e-05,8.95443098233362,-0.00048259427336787086,0.0,-6.513652298011663e-05,6.122437178803125e-05,-0.0016236518121006355,0.00014914894122692427,0.0001491649518103437,0.00024442768709472207,-0.00021852126420552836,0.0001491569459891249,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,150.0,0
